Strategy,Factor,PC,Dev_Sharpe,Dev_Early_SR,Dev_Late_SR,Stability,Stock_TO,PC_TO,Total_TO,TC_Real_Sharpe,Break_Even_TC,DoF,MaxDD,PctPos,r_Performance,r_Stability,r_TC_Robustness,r_Capacity,r_Parsimony,Composite
Corr03EW+TO_MVO,Corr03EW,TO_MVO,0.5192919493698542,0.42308514897821364,0.6215671147568876,0.6806749246116313,0.1771969065670755,0.021593388603520582,0.1987902951705961,0.445113068421906,315.0241338642055,4,-0.2385799214477755,0.5932203389830508,0.7375,0.6375,0.7625,0.325,0.0875,0.5306249999999999
Top3EW+MeanCVaR,Top3EW,MeanCVaR,0.3800437618547753,0.39033894291679866,0.3664941875622905,0.9389126916819297,0.1531772715472313,0.02143001051702354,0.17460728206425483,0.3100903145695511,244.47643321613967,2,-0.21953496070984724,0.5423728813559322,0.3,0.975,0.275,0.5875,0.55625,0.524375
All6ICwt+EqualWeight,All6ICwt,EqualWeight,0.4138408230826856,0.22198323134009557,0.6512404356286371,0.34086217500579025,0.1246892457729107,0.0,0.1246892457729107,0.36346599657736,369.685383169548,1,-0.22466265322359802,0.559322033898305,0.4,0.1,0.475,0.925,0.85,0.52375
SF+Momentum,SF,Momentum,0.5026154580806923,0.3268723272083631,0.7340495193448725,0.44530010386777646,0.097070021468343,0.1093232875241509,0.2063933089924939,0.41899271570538904,270.47301931478995,2,-0.21031360045157343,0.6271186440677966,0.675,0.325,0.6875,0.2625,0.55625,0.5218750000000001
All6EW+MeanCVaR,All6EW,MeanCVaR,0.4209065671419575,0.3379117403033777,0.5253226193528076,0.6432461269603843,0.1841922508619055,0.030234065575245116,0.2144263164371506,0.33707045527534807,225.9264545989983,1,-0.23545434920451158,0.5423728813559322,0.45,0.6,0.4125,0.225,0.85,0.51875
All6ICwt+InverseVol,All6ICwt,InverseVol,0.37801488487879964,0.2504933052606986,0.532386811043109,0.4705099751999967,0.1246892457729107,0.010022460942877625,0.13471170671578833,0.3229283957686753,308.7993098550847,1,-0.22153691527451125,0.559322033898305,0.275,0.35,0.375,0.875,0.85,0.515
All6ICwt+HRP,All6ICwt,HRP,0.38859620208899276,0.3204385836017709,0.46717748460138414,0.68590331119057,0.1246892457729107,0.06669141765875086,0.19138066343166155,0.3114712658624223,226.73378999800383,1,-0.2173464980682961,0.559322033898305,0.3375,0.65,0.2875,0.45,0.85,0.509375
Corr05EW+InverseVol,Corr05EW,InverseVol,0.46147670129899493,0.26755803180122845,0.690084109302103,0.3877180016097106,0.1836209882475732,0.010589414555260785,0.19421040280283397,0.3829522562938921,264.4584314744949,1,-0.2229799003119296,0.6101694915254238,0.5625,0.1625,0.55,0.35,0.85,0.505625
Corr05EW+RiskParity,Corr05EW,RiskParity,0.4753490967958411,0.2969819051529413,0.6868431179746597,0.43238681058444867,0.1836209882475732,0.007795869494720637,0.19141685774229383,0.39809252029903147,276.87881505720406,2,-0.2183251904242255,0.6101694915254238,0.625,0.2625,0.5875,0.4375,0.55625,0.503125
All6EW+HRP,All6EW,HRP,0.42166838224503356,0.30390480323167807,0.5695891168363176,0.5335509303963948,0.1841922508619055,0.06428564829999592,0.2484778991619014,0.3227926500151904,191.9083355753841,0,-0.23989262736728612,0.5254237288135594,0.4625,0.475,0.3625,0.1,0.9875,0.49562500000000004
