ym,A_long,A_hedged_60m,A_hedged_36m_only,B_long,B_hedged_60m,B_hedged_36m_only,EEM_ret,A_beta_60m,A_beta_36m_only,B_beta_60m,B_beta_36m_only,A_hedged_60m_baseline,A_hedged_24m_only,A_hedged_EW_blend,A_hedged_Recency-wt,A_hedged_InvVar-wt
2019-01-01,0.0900583995610148,0.018555534199679438,0.0165386932502148,0.0769778254017245,0.004033819759829041,0.008112118623380127,0.087056,0.8213433348802538,0.8445105025592723,0.8378975101302089,0.7910506659890689,0.018555534199679438,0.011291309257828952,0.01582444991882563,0.014716137691679829,0.017171009776399446
2019-02-01,0.0050810864774603,0.003908769532135804,0.0038631323899853513,0.0019752103502265,0.0007940919065371945,0.0008798249109964967,0.001409,0.8320205431685564,0.8644102820971955,0.8382671708227859,0.7774204678708326,0.003908769532135804,0.0038149843407831435,0.003867084396247997,0.003852100670939981,0.003880656347616169
2019-03-01,0.0259898635968678,0.01959732292090377,0.019317641091671032,0.0220017421489552,0.015561856683931206,0.015998876784478696,0.007739,0.8260163685184172,0.8621556409351039,0.8321340567287757,0.7756642155932941,0.01959732292090377,0.019069597369366222,0.019353240949125654,0.019268544050250493,0.019420820580302298
2019-04-01,0.0192213618039838,0.0022439863689753085,0.00044287610399237204,-0.0025930528277075,-0.019740633666370674,-0.01900467533347145,0.020479,0.8290138891063279,0.9169630206548868,0.8373251056527746,0.8013878854320987,0.0022439863689753085,0.0009295226625668541,0.001346612891243909,0.001083083819010202,0.0016825240589169004
2019-05-01,-0.0832221426082539,-0.02274339251705048,-0.016411976968430775,-0.0461306358646944,0.0147236766031634,0.011963565107419992,-0.072976,0.8287484939048924,0.9155087376647545,0.833894875957271,0.7960726947505261,-0.02274339251705048,-0.017865128932013016,-0.019549309329282435,-0.01857933169496659,-0.02084783481680748
2019-06-01,0.0569058751500888,0.0038741498596490467,-0.0025646918929460305,0.0662935433081876,0.014489808012475389,0.017627108132269663,0.062383,0.8500989899562341,0.953313675889823,0.8304143003015598,0.7801233537328749,0.0038741498596490467,-0.0006962496395011633,0.0007894799740192915,-0.0001515501239443065,0.0021179896128531023
2019-07-01,-0.0180799759369432,-0.007409540834656869,-0.006110079379085769,-0.0208517328267416,-0.010373435322561162,-0.01093252257430516,-0.012599,0.8469271451929782,0.9500671924642775,0.8316769191348867,0.7873013931610794,-0.007409540834656869,-0.00649333114679709,-0.006777900387445083,-0.006591040393758374,-0.007048101491287028
2019-08-01,-0.0402459792583412,0.001891464974600035,0.00720927373306459,-0.0445578726054032,-0.0031399539484304045,-0.005108142026663896,-0.049622,0.8491685992693006,0.9563349520657327,0.8346684667480713,0.795004848227385,0.001891464974600035,0.005427654387913088,0.004480677709526731,0.005201853921050471,0.003377163022083546
2019-09-01,0.0215758483847857,0.0059842588254993175,0.0040743799412280395,0.0209420720725886,0.005583553314722959,0.006198110765695555,0.018399,0.847415052953225,0.9512184598922585,0.8347474731162369,0.8013457963418146,0.0059842588254993175,0.004688240919858325,0.005030240974190723,0.004770853074897115,0.005378690557281737
2019-10-01,0.0635545960419142,0.02722859948227021,0.023813768996823553,0.0637810848699074,0.028650627489108932,0.030268641290512002,0.041748,0.8701254325870459,0.9519216979278203,0.8414883917983728,0.8027317136005412,0.02722859948227021,0.025115158069115434,0.025755128538506283,0.02528565139608345,0.026252150692571696
2019-11-01,-0.0052383286436092,-0.003181242171712533,-0.002981179304526186,-0.0124730358091931,-0.010480776596300373,-0.010556390623613982,-0.002344,0.8775966177033562,0.9629476702572586,0.8499399372409246,0.817681393165153,-0.003181242171712533,-0.003041948029394429,-0.0030925458428649965,-0.0030624199934522482,-0.0031158946449223084
2019-12-01,0.0725283995031987,0.00706380295736625,0.0007496666166248028,0.0679161746202696,0.004523089125578014,0.0063491042118878835,0.074553,0.8780947318797695,0.9627879882308411,0.850308981458715,0.825816136284009,0.00706380295736625,0.0026660814431187646,0.004133346778187899,0.0032084800770999233,0.004728337467172855
2020-01-01,-0.0669398510547621,-0.025230181150600675,-0.021615268955810847,-0.055740750584255,-0.015328978142533534,-0.016489217794420377,-0.047332,0.8812150322015008,0.9575885679656735,0.8537938908501957,0.8292810950273519,-0.025230181150600675,-0.0228457904079946,-0.023508265949662058,-0.023014279621849584,-0.023791113156001478
2020-02-01,-0.0461562837330423,0.001108528447377223,0.005031531630712238,-0.0466675054594436,-0.001053876020459081,-0.0028043567010248294,-0.052965,0.8923782154332016,0.9664460561456535,0.8612032368353539,0.8281534741512088,0.001108528447377223,0.007505892062101817,0.004041174427827227,0.005126418273015652,0.0033151833736874275
2020-03-01,-0.1183138613533343,0.018876871914373344,0.02985942109150133,-0.1195346855696713,0.013298529197920586,0.009226745476823936,-0.15417,0.8898665970533025,0.9611032136267472,0.8616022233092813,0.8351912242751199,0.018876871914373344,0.03628843246438232,0.026993162476069588,0.02995047139144494,0.026056194306001784
2020-04-01,0.1170472676779408,0.04287958491541931,0.03974108373645632,0.1141460353526104,0.04190121250429499,0.04459440664821085,0.084845,0.8741550210680828,0.9111460185218277,0.8514918126974532,0.8197492922906424,0.04287958491541931,0.03777587884673311,0.03990113068491724,0.03916223019938411,0.04030875090017699
2020-05-01,0.0102540458417084,-0.002317009287457412,-0.0030109822372506225,0.0290959445614397,0.017075133737832905,0.01705266294573391,0.014024,0.896395830659285,0.9458804962178425,0.8571599275247287,0.8587622372864937,-0.002317009287457412,-0.0034532023542804442,-0.0029490249103289283,-0.0031192576940985532,-0.0028524231749268592
2020-06-01,0.0854144763921865,0.020662535703306326,0.017640938534250042,0.0948860097903097,0.0332100368223767,0.03284445476279889,0.07201,0.8992076196206105,0.9411684190798006,0.8564917784742813,0.861568601965155,0.020662535703306326,0.014520241374305451,0.017433436821262333,0.016548638014965325,0.018161976760151327
2020-07-01,0.0848510171474466,0.004490958747171855,0.0005866844494008677,0.08392268318078,0.006964004786195396,0.00574156616817173,0.088595,0.9070495897090665,0.9511183779902448,0.86865712957373,0.8824551838434254,0.004490958747171855,-0.0037698188204283306,0.0002618044017254212,-0.0009349476724824224,0.0013410908532166116
2020-08-01,0.0086310455681764,-0.011044258464087771,-0.01184425033367737,0.0209989978600249,0.002147879541728806,0.0021386431617020155,0.02155,0.913007147668871,0.9501297402252329,0.8747618709186122,0.8751904732400411,-0.011044258464087771,-0.012918536017574098,-0.011976332731091577,-0.012244772575347044,-0.011696219973103694
2020-09-01,-0.0304172921586154,-0.015433306392029975,-0.014876362097027388,-0.0236196519209365,-0.009294658920543444,-0.009287602652133532,-0.016382,0.914661565534454,0.9486588976674406,0.874434928604142,0.8748656616287979,-0.015433306392029975,-0.013977181762915049,-0.014739500868919161,-0.01453134261821808,-0.015011159699628731
2020-10-01,0.0034320381710127,-0.01454150549593245,-0.015271577604443172,0.0045501579258555,-0.012554070955099968,-0.012664959365258407,0.019621,0.9160360668133709,0.9532447773026794,0.8717307416011145,0.8773822583514554,-0.01454150549593245,-0.01622177075344675,-0.015381945045759423,-0.01562291739814796,-0.015091932870106123
2020-11-01,0.1039804041215875,0.020013864155550246,0.016723800132463315,0.108499007214063,0.029300698722775256,0.027923836048352677,0.091967,0.913007273979115,0.9487816715683256,0.8611600736273636,0.8761313423914049,0.020013864155550246,0.011866671687560407,0.01605595217320349,0.01488908967376619,0.01738209181163551
2020-12-01,0.0894559610440246,0.02199788590883378,0.01962230642078977,0.1132591814641972,0.04933518593791314,0.04820945699235718,0.072679,0.9281646023636928,0.960850515599208,0.8795387323199833,0.8950277861808777,0.02199788590883378,0.016388470222139503,0.019245341563807875,0.018436409346669805,0.019947480860025818
2021-01-01,0.0060483341233239,-0.02242484862602704,-0.023306837167421664,0.0055694237827973,-0.021810562161071353,-0.02237158268313713,0.030303,0.9396159703445514,0.9687216213162249,0.9035404396881053,0.9220541354299716,-0.02242484862602704,-0.02436453345735188,-0.023405714384934065,-0.02368567705355709,-0.02331420112558484
2021-02-01,0.0150457262214715,0.009413683739930491,0.009119702107947613,-0.0158002290248447,-0.02115682457280399,-0.021452911819108213,0.005995,0.9394566274463736,0.9884944309464363,0.8935105167571789,0.9428995486678085,0.009413683739930491,0.009061268786128323,0.009212219424792573,0.009152631133861435,0.009212289465333347
2021-03-01,-0.010420994728503,0.0037319446075914624,0.00444098854185156,-0.0068950127319642,0.006584659088513373,0.0072682871618907526,-0.015084,0.9382749493565674,0.9852813093578998,0.8936404017818598,0.9389618068055524,0.0037319446075914624,0.0046304530167913405,0.004234317359651759,0.004384448884505687,0.004212182236235998
2021-04-01,0.0282686243422567,0.0048390165277859935,0.0042617315596784125,0.0703929813167582,0.04818448610857892,0.04759892976667467,0.024201,0.9681256069778401,0.9919793720333163,0.9176684933754503,0.9418640366135087,0.0048390165277859935,0.004116444988652424,0.004536810674013628,0.00439500904013063,0.004544901369878212
2021-05-01,0.0223947511725819,0.01131803896491781,0.01103031872160566,0.0200780666513859,0.00952386800410912,0.009215382304425927,0.011445,0.9678210753747567,0.9929604588008948,0.922166766909286,0.9491205196120552,0.01131803896491781,0.010965658446919638,0.011164465200649303,0.011095931825572152,0.01113684183057229
2021-06-01,0.0233559968510774,0.010913063299942356,0.010536795599671888,0.040679188279281,0.028883107947359828,0.028455344519892768,0.012782,0.9734731302718701,1.0029104405731115,0.9228665570271611,0.9563326364722448,0.010913063299942356,0.010789096613909883,0.010819592800170346,0.010775866792891206,0.010934824350933892
2021-07-01,-0.0512953234271081,0.01568267741347945,0.0180448015379735,-0.0640457390707067,-0.000642432285319211,0.0024170637290759495,-0.068778,0.9738288528393897,1.008173034474419,0.9218544706939352,0.9663381139286202,0.01568267741347945,0.01666994461309078,0.01634811325910894,0.016648691942354715,0.015547096762161733
2021-08-01,-0.0049596783280255,-0.026030361284083082,-0.02671695875016438,0.012649786489287,-0.007560684215918444,-0.008460785529065849,0.021769,0.9679214918488485,0.999461639126229,0.9284060225644469,0.9697538710254421,-0.026030361284083082,-0.026117198470035605,-0.02616620557293942,-0.026225063898966786,-0.02589225053333055
2021-09-01,-0.042744743787657,-0.0039715524477223485,-0.0025296197226632594,-0.0377467001952,-0.0005131233651276407,0.0010100365526115457,-0.040137,0.9660211610218663,1.0019464350846785,0.9276621777928685,0.9656112003341443,-0.0039715524477223485,-0.0037475306617392456,-0.003669739125138627,-0.003541104159952839,-0.004202235566287918
