Factor,PC,Gross_Sharpe,Stock_TO,PC_TO,Total_TO,TC_Adj_Sharpe,TC_Drag_Ann,BreakEven_TC,Stability,DoF,r_Performance,r_Stability,r_Parsimony,r_TC_Robustness,r_LowTurnover,Composite
All6-ICwt,MeanCVaR,0.3474724619015601,0.1246892457729107,0.0200469271495278,0.1447361729224385,0.28769994135581,0.00781575333781168,261.596142220608,0.5008523432050555,2,0.2375,0.425,0.51875,0.475,0.8,0.4325
Top3-EW,TO_MVO,0.37365426328056295,0.1531772715472313,0.0152135161394163,0.16839078768664759,0.31192122781231096,0.00909310253507897,272.3734823678427,0.7055288802921328,4,0.3,0.675,0.08125,0.525,0.6375,0.4175
Top3-EW,MaxSharpe,0.35102151661122244,0.1531772715472313,0.0387920145385241,0.1919692860857554,0.2808817866377694,0.01036634144863079,225.2071437041973,0.8743901533613678,3,0.225,0.8625,0.24375,0.2625,0.4,0.41125
All6-ICwt,Momentum,0.4105949210317783,0.1246892457729107,0.106745862192821,0.2314351079657317,0.31721936891481844,0.01249749583014951,197.87590035651337,0.6153075860906818,2,0.3375,0.5625,0.51875,0.175,0.1375,0.385625
Top3-EW,EqualWeight,0.31600720357548207,0.1531772715472313,0.0,0.1531772715472313,0.257813884282554,0.00827157266355049,244.36351687237192,0.29372683101383573,1,0.2,0.05,0.80625,0.4125,0.725,0.36812500000000004
Top3-ICwt,EqualWeight,0.3188068383105059,0.1254649517494697,0.0,0.1254649517494697,0.27037332783076945,0.006775107394471363,296.2062336979489,0.23069070464586647,2,0.2125,0.025,0.51875,0.625,0.9125,0.35875
Top3-EW,InverseVol,0.27142204172222656,0.1531772715472313,0.0100482535552966,0.16322552510252789,0.2084770463749682,0.008814178355536505,194.04230328586746,0.4417407713080141,1,0.1,0.3,0.80625,0.1625,0.675,0.35812499999999997
Top3-EW,Momentum,0.415537905869936,0.1531772715472313,0.1038705587557691,0.2570478303030004,0.3158019380460976,0.01388058283636202,187.48708386903255,0.4967408456322958,2,0.3125,0.4125,0.51875,0.1375,0.05,0.32625000000000004
Top3-ICwt,HRP,0.2397571497676284,0.1254649517494697,0.0478683039145976,0.1733332556640673,0.17277261497017177,0.009359995805859632,161.06809985568384,0.6013208617531451,2,0.05,0.5375,0.51875,0.05,0.6125,0.321875
Top3-ICwt,TO_MVO,0.27610602608548357,0.1254649517494697,0.0149941446362653,0.140459096385735,0.2245608073943584,0.007584791204829689,241.04604635203557,0.6408692127578836,5,0.125,0.5875,0.01875,0.3375,0.825,0.32125000000000004
All6-ICwt,MinVariance,0.25656860627521205,0.1246892457729107,0.0261456358857624,0.1508348816586731,0.19436630411395023,0.008145083609568346,185.61350434349131,0.4748135815760313,2,0.075,0.375,0.51875,0.125,0.775,0.31625000000000003
Top3-EW,RiskParity,0.3017381217459624,0.1531772715472313,0.0074045584573394,0.16058183000457069,0.24007805537224125,0.008671418820246817,220.21084758927825,0.4281397501430205,2,0.1625,0.225,0.51875,0.2375,0.7,0.314375
Top3-ICwt,MaxSharpe,0.2598040682493274,0.1254649517494697,0.0587163885445895,0.1841813402940592,0.19232728685540249,0.009945792375879194,173.2623108231465,0.8558892453559342,4,0.0625,0.8375,0.08125,0.075,0.525,0.308125
Top3-ICwt,InverseVol,0.28423844472650256,0.1254649517494697,0.0100833235905457,0.1355482753400154,0.23126564599254443,0.007319606868360831,241.45845260943588,0.3319848970784157,2,0.1375,0.075,0.51875,0.3625,0.8625,0.304375
Top3-EW,MinVariance,0.19643833367413477,0.1531772715472313,0.021113502245663,0.1742907737928943,0.12785057154109897,0.00941170178481629,128.88195707843838,0.543431927648236,2,0.025,0.4875,0.51875,0.0125,0.6,0.295
Top3-ICwt,RiskParity,0.2968684949755308,0.1254649517494697,0.0074081781137393,0.132873129863209,0.24526299549032135,0.007175149012613286,258.8693532116223,0.3361817821734668,3,0.1875,0.0875,0.24375,0.4625,0.8875,0.28500000000000003
Top3-ICwt,BlackLitterman,0.26352651608981165,0.1254649517494697,0.0596082484693286,0.1850732002187983,0.19502503059452003,0.009993952811815109,173.11585490881944,0.7592244114556035,4,0.0875,0.7375,0.08125,0.0625,0.4875,0.285
Top3-ICwt,MinVariance,0.18824536333542666,0.1254649517494697,0.0254906767792241,0.1509556285286938,0.1289041351500758,0.008151603940549465,142.7513654357664,0.5332383944015882,3,0.0375,0.4625,0.24375,0.025,0.7625,0.25562500000000005
Top3-ICwt,Momentum,0.4046058510471066,0.1254649517494697,0.0982938462957418,0.22375879804521148,0.3170070905495142,0.01208297509444142,207.84841239414789,0.4039474202200102,3,0.325,0.175,0.24375,0.2,0.1625,0.23625000000000002
Top3-EW,BlackLitterman,0.3172273721310626,0.1531772715472313,0.0621354553796222,0.2153127269268535,0.23844990891607126,0.011626887254050087,181.20958918084668,0.4790331439848397,3,0.15,0.3875,0.24375,0.1125,0.2125,0.22874999999999998
Top3-ICwt,MeanCVaR,0.1822152234550691,0.1254649517494697,0.0158025268763953,0.141267478625865,0.12676612164166584,0.007628443845796709,147.87768940012023,0.11523308132516613,3,0.0125,0.0125,0.24375,0.0375,0.8125,0.14250000000000002
