ym,threshold,cap_conservative,cap_10th_pctile,cap_median,binding_stock,binding_country,n_stocks
2021-02-01,0.1,1.3750846252643765,15.7326979818746,107.02527546784162,ISA.CN,COLOMBIA,102
2021-02-01,0.15,2.0626269378965643,23.599046972811898,160.53791320176245,ISA.CN,COLOMBIA,102
2021-02-01,0.2,2.750169250528753,31.4653959637492,214.05055093568325,ISA.CN,COLOMBIA,102
2021-02-01,0.25,3.4377115631609407,39.3317449546865,267.5631886696041,ISA.CN,COLOMBIA,102
2021-03-01,0.05,0.46595661407409944,8.695937052843497,40.18025881111394,ISA.CN,COLOMBIA,99
2021-03-01,0.1,0.9319132281481989,17.391874105686995,80.36051762222787,ISA.CN,COLOMBIA,99
2021-03-01,0.15,1.3978698422222982,26.08781115853049,120.5407764333418,ISA.CN,COLOMBIA,99
2021-03-01,0.2,1.8638264562963978,34.78374821137399,160.72103524445575,ISA.CN,COLOMBIA,99
2021-03-01,0.25,2.3297830703704974,43.47968526421748,200.90129405556968,ISA.CN,COLOMBIA,99
2021-04-01,0.05,0.4422785656990874,7.888767435723854,46.37117078919487,ISA.CN,COLOMBIA,102
2021-04-01,0.1,0.8845571313981748,15.777534871447708,92.74234157838974,ISA.CN,COLOMBIA,102
2021-04-01,0.15,1.326835697097262,23.66630230717156,139.11351236758458,ISA.CN,COLOMBIA,102
2021-04-01,0.2,1.7691142627963496,31.555069742895416,185.48468315677948,ISA.CN,COLOMBIA,102
2021-04-01,0.25,2.2113928284954367,39.443837178619276,231.85585394597436,ISA.CN,COLOMBIA,102
2021-05-01,0.05,0.5373058714893433,9.303126784732035,40.9041420962468,ISA.CN,COLOMBIA,100
2021-05-01,0.1,1.0746117429786866,18.60625356946407,81.8082841924936,ISA.CN,COLOMBIA,100
2021-05-01,0.15,1.6119176144680294,27.909380354196106,122.7124262887404,ISA.CN,COLOMBIA,100
2021-05-01,0.2,2.149223485957373,37.21250713892814,163.6165683849872,ISA.CN,COLOMBIA,100
2021-05-01,0.25,2.6865293574467155,46.515633923660175,204.52071048123398,ISA.CN,COLOMBIA,100
2021-06-01,0.05,0.7695276699031963,9.372331056331422,40.79027245130363,ISA.CN,COLOMBIA,100
2021-06-01,0.1,1.5390553398063926,18.744662112662844,81.58054490260726,ISA.CN,COLOMBIA,100
2021-06-01,0.15,2.3085830097095887,28.11699316899426,122.37081735391087,ISA.CN,COLOMBIA,100
2021-06-01,0.2,3.0781106796127853,37.48932422532569,163.16108980521452,ISA.CN,COLOMBIA,100
2021-06-01,0.25,3.847638349515981,46.86165528165711,203.95136225651814,ISA.CN,COLOMBIA,100
2021-07-01,0.05,2.8532670778691167,7.565896433943707,43.23976029511789,FUNO11.MX,MEXICO,99
2021-07-01,0.1,5.706534155738233,15.131792867887414,86.47952059023578,FUNO11.MX,MEXICO,99
2021-07-01,0.15,8.559801233607352,22.697689301831122,129.71928088535367,FUNO11.MX,MEXICO,99
2021-07-01,0.2,11.413068311476467,30.26358573577483,172.95904118047156,FUNO11.MX,MEXICO,99
2021-07-01,0.25,14.266335389345585,37.82948216971853,216.19880147558945,FUNO11.MX,MEXICO,99
2021-08-01,0.05,0.33360381873184586,7.559215264259616,36.90056588565407,ISA.CN,COLOMBIA,102
2021-08-01,0.1,0.6672076374636917,15.118430528519232,73.80113177130814,ISA.CN,COLOMBIA,102
2021-08-01,0.15,1.0008114561955375,22.677645792778844,110.70169765696218,ISA.CN,COLOMBIA,102
2021-08-01,0.2,1.3344152749273834,30.236861057038464,147.60226354261627,ISA.CN,COLOMBIA,102
2021-08-01,0.25,1.6680190936592294,37.79607632129808,184.50282942827033,ISA.CN,COLOMBIA,102
2021-09-01,0.05,1.0472343153924026,8.518443405083781,36.22038857383813,ISA.CN,COLOMBIA,100
2021-09-01,0.1,2.0944686307848053,17.036886810167562,72.44077714767626,ISA.CN,COLOMBIA,100
2021-09-01,0.15,3.1417029461772072,25.55533021525135,108.66116572151438,ISA.CN,COLOMBIA,100
2021-09-01,0.2,4.1889372615696105,34.073773620335125,144.88155429535252,ISA.CN,COLOMBIA,100
2021-09-01,0.25,5.236171576962013,42.59221702541892,181.10194286919062,ISA.CN,COLOMBIA,100
2021-10-01,0.05,1.6087795063541264,5.937735214607082,27.448553072186712,FUNO11.MX,MEXICO,99
2021-10-01,0.1,3.2175590127082527,11.875470429214165,54.897106144373424,FUNO11.MX,MEXICO,99
2021-10-01,0.15,4.826338519062379,17.813205643821245,82.34565921656012,FUNO11.MX,MEXICO,99
2021-10-01,0.2,6.4351180254165055,23.75094085842833,109.79421228874685,FUNO11.MX,MEXICO,99
2021-10-01,0.25,8.043897531770632,29.68867607303541,137.24276536093353,FUNO11.MX,MEXICO,99
2021-11-01,0.05,1.7984863794884374,6.680609797409909,38.773053202243645,ECO.CN,COLOMBIA,99
2021-11-01,0.1,3.5969727589768747,13.361219594819818,77.54610640448729,ECO.CN,COLOMBIA,99
2021-11-01,0.15,5.395459138465311,20.041829392229726,116.31915960673095,ECO.CN,COLOMBIA,99
2021-11-01,0.2,7.1939455179537495,26.722439189639637,155.09221280897458,ECO.CN,COLOMBIA,99
2021-11-01,0.25,8.992431897442186,33.40304898704954,193.86526601121824,ECO.CN,COLOMBIA,99
2021-12-01,0.05,1.3813792012519117,6.748861269901964,33.93193205819595,AC.PS,PHILIPPINES,100
2021-12-01,0.1,2.7627584025038234,13.497722539803927,67.8638641163919,AC.PS,PHILIPPINES,100
2021-12-01,0.15,4.144137603755735,20.246583809705886,101.79579617458784,AC.PS,PHILIPPINES,100
2021-12-01,0.2,5.525516805007647,26.995445079607855,135.7277282327838,AC.PS,PHILIPPINES,100
2021-12-01,0.25,6.906896006259559,33.74430634950981,169.65966029097973,AC.PS,PHILIPPINES,100
2022-01-01,0.05,0.726280465620103,4.790211913764646,22.674959191621227,AC.PS,PHILIPPINES,101
2022-01-01,0.1,1.452560931240206,9.580423827529293,45.34991838324245,AC.PS,PHILIPPINES,101
2022-01-01,0.15,2.1788413968603084,14.370635741293938,68.02487757486367,AC.PS,PHILIPPINES,101
2022-01-01,0.2,2.905121862480412,19.160847655058586,90.6998367664849,AC.PS,PHILIPPINES,101
2022-01-01,0.25,3.6314023281005148,23.95105956882323,113.37479595810613,AC.PS,PHILIPPINES,101
2022-02-01,0.05,1.4249934783703893,6.6427610660941045,36.85601071332799,ADAG.NS,INDIA,101
2022-02-01,0.1,2.8499869567407785,13.285522132188209,73.71202142665598,ADAG.NS,INDIA,101
2022-02-01,0.15,4.274980435111167,19.928283198282312,110.56803213998397,ADAG.NS,INDIA,101
2022-02-01,0.2,5.699973913481557,26.571044264376418,147.42404285331196,ADAG.NS,INDIA,101
2022-02-01,0.25,7.1249673918519445,33.21380533047052,184.28005356663994,ADAG.NS,INDIA,101
2022-03-01,0.05,1.344207372291966,5.9983464978014815,30.26136688086925,ADAG.NS,INDIA,102
2022-03-01,0.1,2.688414744583932,11.996692995602963,60.5227337617385,ADAG.NS,INDIA,102
2022-03-01,0.15,4.032622116875898,17.995039493404445,90.78410064260775,ADAG.NS,INDIA,102
2022-03-01,0.2,5.376829489167864,23.993385991205926,121.045467523477,ADAG.NS,INDIA,102
2022-03-01,0.25,6.72103686145983,29.99173248900741,151.30683440434626,ADAG.NS,INDIA,102
2022-04-01,0.05,1.092853568945348,6.163071095965372,26.356604077354124,FIVEDR.MM,NETHERLANDS,102
2022-04-01,0.1,2.185707137890696,12.326142191930744,52.71320815470825,FIVEDR.MM,NETHERLANDS,102
2022-04-01,0.15,3.278560706836044,18.48921328789611,79.06981223206238,FIVEDR.MM,NETHERLANDS,102
2022-04-01,0.2,4.371414275781392,24.65228438386149,105.4264163094165,FIVEDR.MM,NETHERLANDS,102
2022-04-01,0.25,5.4642678447267405,30.815355479826856,131.78302038677063,FIVEDR.MM,NETHERLANDS,102
2022-05-01,0.05,1.2031016817475702,5.436305705405063,28.722457413805657,MCGJ.J,SOUTH AFRICA,100
2022-05-01,0.1,2.4062033634951403,10.872611410810126,57.44491482761131,MCGJ.J,SOUTH AFRICA,100
2022-05-01,0.15,3.6093050452427105,16.30891711621519,86.16737224141696,MCGJ.J,SOUTH AFRICA,100
2022-05-01,0.2,4.812406726990281,21.745222821620253,114.88982965522263,MCGJ.J,SOUTH AFRICA,100
2022-05-01,0.25,6.01550840873785,27.18152852702532,143.61228706902827,MCGJ.J,SOUTH AFRICA,100
2022-06-01,0.05,2.113381556560861,6.489219070083387,31.13993393159981,TATN.MM,RUSSIAN FEDERATION,100
2022-06-01,0.1,4.226763113121722,12.978438140166775,62.27986786319962,TATN.MM,RUSSIAN FEDERATION,100
2022-06-01,0.15,6.340144669682584,19.46765721025016,93.41980179479941,TATN.MM,RUSSIAN FEDERATION,100
2022-06-01,0.2,8.453526226243444,25.95687628033355,124.55973572639924,TATN.MM,RUSSIAN FEDERATION,100
2022-06-01,0.25,10.566907782804305,32.44609535041693,155.69966965799904,TATN.MM,RUSSIAN FEDERATION,100
2022-07-01,0.05,1.3433349949827094,4.825810615869763,22.248187389947734,MCGJ.J,SOUTH AFRICA,101
