ric,name,country,industry,total_contribution,avg_weight,months_held,avg_monthly_return,total_return
010140.KS,SAMSUNG HEAVY INDS.,SOUTH KOREA,INDUS,0.0008651853779055749,0.0022222222222222222,1,0.3893334200575087,0.3893334200575087
KTKM.NS,KOTAK MAHINDRA BANK,INDIA,FINAN,0.0008298945728383185,0.0009346563969727771,62,0.013876421231932176,1.0616094960416436
402340.KS,SK SQUARE,SOUTH KOREA,FINAN,0.0008233939060582176,0.000861847182917417,26,0.03632292399361287,1.15484551229184
105560.KS,KB FINANCIAL GROUP,SOUTH KOREA,FINAN,0.0008144250006078142,0.0015310231750154707,78,0.007884440475743998,0.4777676899602852
CHLA.NS,CHOLAMANDALAM INV.& FIN.,INDIA,FINAN,0.0007859278615809049,0.000905474388311917,38,0.02416205237942918,1.18003607418518
GFNORTEO.MX,GPO FINANCE BANORTE,MEXICO,FINAN,0.0007700655040609433,0.0009396713126690243,19,0.04494700282133413,1.0832182822630845
035250.KS,KANGWON LAND,SOUTH KOREA,CODIS,0.0007660707560514002,0.020000000000000004,1,0.03830353780257,0.03830353780257001
086790.KS,HANA FINANCIAL GROUP,SOUTH KOREA,FINAN,0.0006976649397783331,0.0014610276122669608,40,0.011719725044546766,0.38427067940796267
2202.HK,CHINA VANKE 'H',CHINA,RLEST,0.0006691612273435541,0.003333333333333333,4,0.05018709205076655,0.2113991391490213
6415.TW,SILERGY,CHINA,TECNO,0.0006358484801744877,0.016902456517841134,26,0.0002677068393275567,-0.31070843143851656
MOLB.BU,MOL MAGYAR OLAJ,HUNGARY,ENEGY,0.0006240101732503138,0.0025,9,0.02773378547779172,0.1920924754970763
FEMSAUBD.MX,FOMENTO ECONOMICO MEXICANO,MEXICO,COSTP,0.0006232290588438373,0.009501262515418718,24,0.003629550804571363,0.057991937162015006
TORP.NS,TORRENT PHARMACEUTICALS,INDIA,HLTHC,0.0006096247711768893,0.0022619047619047623,14,0.019338609444029455,0.2691647468642071
